Fs,50.00
Initialization time,60
mx,my,mz
6202,682,4812
6177,682,4827
6172,672,4850
6172,727,4855
6147,667,4780
6182,657,4812
6197,682,4845
6167,692,4855
6147,647,4817
6167,672,4875
6172,692,4822
6182,717,4802
6132,667,4832
6172,677,4875
6137,677,4850
6152,662,4865
6192,662,4880
6177,702,4827
6192,630,4817
6147,672,4822
6187,682,4827
6177,687,4870
6172,697,4780
6202,667,4860
6167,677,4817
6187,677,4845
6197,697,4827
6147,672,4850
6167,692,4850
6187,682,4817
6177,677,4822
6212,667,4822
6197,702,4822
6172,707,4837
6187,682,4860
6192,692,4817
6172,687,4860
6207,712,4802
6177,687,4870
6192,687,4822
6192,707,4795
6182,677,4875
6207,692,4812
6202,697,4775
6202,702,4827
6202,687,4832
6202,672,4855
6217,662,4855
6162,682,4817
6212,692,4807
6137,667,4817
6202,702,4845
6202,717,4807
6147,732,4812
6157,687,4770
6167,682,4817
6147,687,4812
6207,702,4802
6192,697,4837
6257,697,4817
6227,692,4875
6207,682,4837
6177,682,4822
6237,672,4855
6182,692,4807
6177,677,4860
6177,737,4887
6167,697,4827
6142,707,4832
6177,667,4760
6207,702,4832
6177,712,4807
6177,657,4807
6167,687,4790
6187,702,4822
6202,692,4837
6202,682,4827
6232,662,4812
6207,712,4795
6232,677,4837
6217,682,4845
6217,702,4817
6192,682,4817
6202,662,4822
6157,672,4832
6237,717,4837
6192,687,4855
6197,707,4850
6237,677,4822
6257,692,4837
6207,682,4807
6267,692,4880
6262,687,4812
6232,732,4880
6227,672,4850
6252,677,4855
6237,697,4845
6242,692,4850
6242,692,4795
6222,712,4845
6212,677,4822
6192,677,4870
6207,687,4795
6232,640,4845
6232,672,4845
6257,677,4870
6237,682,4812
6237,692,4822
6242,697,4850
6197,687,4817
6252,707,4860
6217,722,4845
6237,702,4817
6267,677,4832
6227,692,4850
6222,712,4802
6202,692,4827
6202,717,4795
6207,707,4822
6207,702,4822
6212,707,4817
6242,692,4795
6237,707,4822
6212,687,4812
6262,742,4860
6222,697,4795
6212,717,4812
6227,682,4807
6257,682,4845
6207,672,4832
6242,687,4845
6222,697,4807
6257,727,4837
6212,737,4850
6222,702,4785
6247,677,4827
6202,702,4837
6242,737,4870
6227,712,4802
6242,697,4822
6257,717,4855
6277,722,4827
6247,687,4875
6252,697,4837
6252,707,4837
6267,712,4855
6277,687,4875
6232,692,4855
6262,712,4870
6227,677,4837
6237,702,4837
6247,697,4837
6257,677,4790
6267,662,4850
6247,687,4807
6262,635,4845
6282,687,4827
6247,712,4822
6267,677,4832
6257,672,4812
6322,667,4845
6317,702,4850
6302,672,4845
6247,672,4817
6252,682,4845
6267,682,4837
6272,702,4822
6232,697,4770
6332,672,4790
6322,702,4790
6282,682,4855
6332,742,4795
6287,727,4827
6317,702,4827
6322,662,4807
6297,717,4812
6267,672,4812
6302,677,4860
6267,677,4795
6302,692,4785
6247,702,4742
6267,687,4790
6247,687,4790
6287,702,4827
6292,682,4812
6242,687,4845
6292,687,4817
6302,687,4765
6247,702,4807
6262,687,4780
6277,737,4775
6297,707,4802
6237,697,4807
6242,687,4770
6267,712,4817
6212,702,4807
6202,687,4812
6252,697,4795
6242,687,4795
6222,732,4817
6282,727,4775
6277,712,4812
6287,687,4807
6277,640,4802
6227,682,4802
6217,707,4790
6222,672,4795
6242,692,4812
6282,687,4817
6272,692,4845
6237,687,4822
6277,687,4832
6272,692,4860
6282,657,4865
6272,667,4880
6302,657,4860
6327,590,4870
6312,647,4855
6282,662,4855
6282,672,4870
6277,707,4865
6247,672,4807
6237,717,4822
6182,697,4802
6212,692,4832
6202,672,4812
6252,702,4822
6247,667,4880
6232,640,4860
6227,717,4832
6252,687,4812
6307,662,4832
6252,682,4832
6247,747,4795
6257,667,4827
6282,692,4802
6262,707,4850
6237,677,4887
6262,687,4880
6287,707,4875
6247,657,4870
6232,697,4812
6262,692,4865
6272,697,4807
6267,672,4747
6302,732,4785
6292,737,4765
6232,667,4775
6262,667,4807
6227,667,4807
6222,687,4832
6267,662,4855
6207,687,4837
6237,652,4832
6237,682,4855
6302,672,4832
6312,620,4802
6307,712,4865
6307,707,4807
6272,672,4770
6242,712,4807
6242,652,4807
6252,687,4822
6237,717,4780
6262,667,4865
6242,697,4785
6287,677,4850
6292,702,4837
6287,692,4802
6297,677,4785
6322,682,4775
6307,640,4812
6337,712,4807
6347,712,4775
6332,727,4795
6302,707,4790
6267,717,4812
6282,727,4807
6272,672,4845
6292,727,4832
6307,682,4770
6287,687,4790
6327,697,4817
6342,682,4827
6317,737,4807
6292,712,4832
6347,692,4827
6297,692,4812
6312,692,4817
6327,697,4765
6372,672,4812
6337,682,4860
6322,667,4817
6287,682,4795
6327,647,4790
6302,682,4807
6337,682,4790
6327,692,4817
6312,682,4795
6332,707,4822
6337,717,4790
6332,687,4832
6332,692,4812
6317,667,4837
6322,717,4832
6327,692,4807
6302,732,4802
6337,732,4812
6317,682,4795
6312,707,4790
6392,687,4780
6307,707,4802
6332,712,4845
6317,692,4822
6352,697,4802
6337,682,4812
6312,682,4785
6352,687,4827
6307,682,4765
6292,707,4770
6322,707,4837
6262,702,4822
6292,692,4727
6307,672,4795
6297,687,4855
6322,702,4832
6327,677,4832
6337,707,4827
6332,657,4802
6322,707,4807
6362,662,4822
6367,672,4837
6342,712,4795
6377,692,4785
6362,652,4845
6372,687,4785
6332,707,4802
6317,682,4790
6367,707,4827
6322,682,4812
6347,707,4822
6307,722,4827
6357,682,4807
6332,657,4850
6372,672,4850
6372,712,4865
6362,657,4865
6382,692,4845
6337,717,4845
6387,702,4795
6342,697,4822
6367,657,4822
6342,702,4865
6312,682,4795
6357,702,4790
6362,702,4832
6317,682,4807
6347,677,4827
6367,662,4817
6357,692,4802
6382,687,4845
6342,677,4845
6372,677,4807
6387,635,4855
6387,702,4817
6342,717,4845
6362,640,4812
6332,692,4845
6332,667,4790
6417,677,4795
6317,647,4822
6357,702,4832
6332,722,4780
6362,707,4822
6332,635,4802
6347,707,4790
6352,657,4817
6397,682,4807
6372,682,4822
6402,717,4855
6387,707,4790
6357,672,4860
6312,657,4827
6352,707,4822
6352,667,4817
6402,682,4817
6337,707,4807
6362,667,4812
6367,677,4790
6387,707,4790
6342,702,4790
6372,697,4812
6347,692,4775
6382,667,4775
6332,682,4827
6342,640,4827
6342,682,4780
6382,667,4832
6357,672,4802
6337,707,4807
6357,682,4870
6362,682,4822
6392,702,4775
6362,667,4802
6392,672,4817
6367,677,4822
6372,692,4870
6347,712,4802
6377,707,4802
6337,682,4802
6317,712,4845
6367,677,4837
6347,712,4832
6347,687,4802
6362,692,4837
6347,667,4812
6337,610,4780
6357,717,4802
6332,677,4785
6342,707,4822
6347,652,4807
6397,692,4807
6372,687,4822
6342,702,4822
6327,687,4817
6367,677,4832
6367,657,4790
6337,687,4845
6402,687,4807
6367,662,4802
6392,697,4802
6382,707,4802
6377,672,4807
6342,667,4827
6372,727,4817
6367,712,4812
6362,682,4817
6352,662,4795
6367,687,4785
6317,707,4832
6327,707,4785
6337,687,4822
6297,677,4827
6352,667,4832
6357,672,4822
6342,672,4812
6382,697,4870
6342,702,4817
6347,672,4807
6332,647,4765
6357,697,4795
6347,687,4807
6397,672,4780
6402,707,4845
6352,662,4812
6357,712,4832
6367,682,4827
6367,712,4822
6342,677,4795
6382,687,4812
6347,687,4832
6377,687,4845
6327,687,4822
6377,657,4812
6377,702,4807
6342,687,4812
6317,702,4850
6337,677,4807
6377,667,4827
6337,662,4785
6357,702,4780
6342,677,4822
6347,677,4795
6342,672,4807
6352,677,4812
6382,692,4827
6332,662,4832
6347,687,4795
6332,677,4822
6327,702,4790
6352,682,4812
6362,677,4827
6347,657,4765
6352,682,4807
6372,727,4832
6362,717,4817
6342,697,4812
6357,677,4770
6387,682,4827
6357,682,4780
6362,727,4807
6342,672,4790
6337,712,4785
6362,630,4790
6337,672,4790
6382,692,4802
6367,682,4775
6367,667,4780
6332,667,4832
6362,697,4790
6357,677,4850
6342,625,4780
6342,692,4817
6332,687,4802
6352,657,4802
6317,692,4822
6317,692,4780
6362,727,4802
6362,697,4812
6367,687,4780
6377,672,4837
6367,702,4785
6362,707,4832
6322,687,4790
6367,682,4790
6367,682,4770
6382,717,4775
6362,752,4802
6337,682,4817
6357,727,4817
6312,727,4785
6307,702,4802
6352,682,4802
6377,717,4832
6387,682,4790
6352,747,4827
6332,687,4817
6342,672,4790
6327,672,4817
6352,717,4850
6377,717,4785
6332,737,4770
6327,687,4775
6352,707,4785
6367,717,4790
6377,672,4845
6322,677,4827
6352,697,4790
6352,727,4807
6307,682,4765
6317,697,4765
6352,697,4817
6332,677,4802
6347,717,4802
6357,737,4807
6357,702,4795
6367,692,4860
6362,667,4807
6342,722,4812
6342,717,4812
6362,682,4785
6352,667,4812
