Fs,50.00
Initialization time,60
mx,my,mz
6242,980,3872
6267,945,3860
6267,965,3935
6252,1015,3825
6207,1000,3825
6232,955,3830
6372,955,3897
6232,985,3830
6287,960,3860
6277,895,3957
6227,1035,3977
6412,980,3882
6172,975,3835
6232,940,3940
6227,985,3910
6287,935,3902
6237,1020,3872
6187,955,3835
6272,950,3845
6232,1025,3860
6332,980,3787
6307,960,3910
6132,1005,3835
6227,965,3887
6332,915,3877
6197,920,3892
6222,960,3860
6187,975,3787
6097,1015,3792
6202,1015,3765
6167,970,3792
6352,857,3745
6212,895,3702
6142,925,3812
6157,885,3755
6077,905,3760
6222,950,3750
6242,955,3797
6172,980,3745
6252,885,3825
6297,1000,3802
6347,1010,3835
6277,1020,3797
6192,1005,3845
6237,1015,3872
6212,990,3835
6287,1030,3787
6122,1035,3845
6122,1045,3825
6157,925,3850
6117,980,3775
6327,1075,3797
6147,880,3825
6152,900,3685
6147,885,3632
6177,1045,3807
6127,1000,3845
6067,950,3750
6187,842,3745
6097,1000,3840
6032,950,3867
6117,1087,3835
6232,1015,3845
6057,985,3817
6102,1030,3892
6052,970,3840
6062,1040,3782
6067,995,3867
6022,955,3850
6152,955,3797
6062,1025,3845
6192,990,3797
6027,935,3727
6017,1005,3867
6062,1000,3812
5987,925,3835
6037,1082,3770
6092,960,3787
6087,880,3755
6022,945,3707
6052,1000,3707
6092,985,3892
6042,955,3760
5987,925,3855
6022,910,3787
5842,1030,3727
5957,1045,3887
5937,842,3707
5972,940,3787
5922,1050,3830
5802,1010,3727
5962,1020,3727
5932,955,3727
5897,880,3660
5912,1005,3755
5922,935,3745
5782,1040,3632
5882,920,3697
5927,980,3680
5897,1000,3600
5997,1000,3637
5907,890,3557
5842,960,3590
5862,1065,3627
5992,965,3670
6002,900,3547
5927,900,3647
6012,1010,3642
5902,935,3655
5977,895,3712
6042,1030,3660
6022,980,3665
5882,980,3600
6047,950,3600
5992,1045,3722
5967,870,3745
5977,970,3647
6007,1005,3797
6052,1040,3665
5997,920,3680
6047,980,3807
5972,960,3707
6037,920,3617
6097,975,3537
6137,940,3570
5957,1082,3420
6107,1015,3575
6177,1015,3425
6117,1020,3467
6102,885,3340
6072,1010,3472
6112,1030,3552
6087,990,3442
6082,960,3372
6042,1050,3447
6187,910,3477
6147,910,3472
6212,945,3485
6132,970,3457
6062,945,3420
6147,995,3382
6117,960,3415
6057,910,3430
6127,920,3410
6187,975,3382
6247,1010,3425
6082,1025,3400
6097,950,3510
6067,995,3260
6082,965,3405
6152,1075,3477
6067,900,3392
6032,1010,3490
6097,920,3377
6122,965,3462
5992,1045,3357
6172,890,3420
6192,950,3405
6147,930,3447
6172,890,3377
6047,965,3485
6177,990,3340
6142,910,3405
6112,1015,3335
6127,980,3350
6127,1025,3410
6212,885,3457
6102,950,3372
6127,1000,3272
6087,1055,3372
6142,1137,3345
6192,1025,3357
6097,950,3410
6192,1025,3392
6097,1010,3420
6147,1000,3410
6102,965,3340
6177,1005,3362
6182,1020,3435
6227,1082,3400
6222,970,3425
6182,980,3372
6212,1050,3377
6247,1102,3277
6207,965,3410
6222,890,3362
6167,950,3297
6142,960,3335
6157,905,3410
6167,935,3320
6237,945,3340
6142,985,3425
6177,1040,3377
6152,1087,3330
6192,930,3435
6137,945,3357
6172,1030,3307
6162,990,3335
6167,1030,3277
6172,1000,3325
6152,925,3400
6182,895,3425
6117,905,3420
6092,1050,3287
6242,955,3315
6117,1010,3357
6177,1035,3430
6172,1030,3340
6252,990,3532
6257,955,3265
6172,1060,3320
6252,955,3372
6152,975,3447
6237,910,3230
6157,965,3255
6142,802,3307
6242,1045,3175
6272,995,3307
6182,925,3245
6242,1035,3107
6282,940,3235
6217,865,3315
6307,885,3240
6327,1005,3230
6222,890,3212
6207,1050,2975
6152,955,3085
6252,945,3137
6327,915,3165
6277,1015,3070
6252,980,3085
6272,1092,3127
6217,945,3065
6377,1070,3117
6227,1025,3127
6327,1015,3090
6237,905,3117
6352,970,3277
6312,975,3085
6372,1015,3145
6322,895,3090
6202,1000,3037
6302,1005,3222
6257,960,3175
6317,950,3187
6292,1045,3222
6212,1005,3192
6222,990,3170
6252,935,3180
6262,940,3127
6102,940,3022
6362,1000,3080
6267,1030,3095
6362,975,3080
6272,870,3170
6287,1015,3075
6222,955,3080
6297,870,3155
6217,985,3222
6207,870,3245
6287,1050,3000
6367,935,3187
6327,1025,3095
6302,812,3272
6197,920,3122
6277,900,3042
6262,1025,3165
6242,870,3207
6192,970,2990
6342,1005,3235
6312,847,3095
6327,910,3175
6357,955,3165
6272,930,3277
6242,975,3127
6337,930,3027
6217,925,3095
6347,925,3107
6287,885,3235
6332,847,3085
6282,975,3112
6237,1060,3122
6307,970,3197
6132,1000,2985
6177,1060,3180
6292,920,3102
6227,900,3060
6322,960,3145
6297,945,3155
6322,1010,3027
6272,905,3122
6362,1005,3070
6162,1025,3065
6247,1097,3095
6352,945,3230
6242,965,3180
6272,975,3192
6252,880,3127
6287,965,3187
6182,980,3160
6337,832,3052
6312,955,3132
6207,980,3042
6287,1040,3090
6312,935,3127
6342,1045,3122
6332,1082,3065
6262,1035,2942
6152,970,3095
6212,965,3112
6262,930,3180
6292,880,3052
6192,975,3175
6302,1025,3085
6202,817,3160
6227,915,3102
6247,970,3155
6202,975,3170
6252,970,3065
6282,1000,3037
